imax,total_stages,tanh_rmse,tanh_maxabs,sigmoid_rmse,sigmoid_maxabs
4,9,4.070588e-02,9.477431e-02,2.106320e-02,4.744102e-02
5,11,2.430680e-02,5.843645e-02,1.358449e-02,2.921822e-02
6,13,1.165661e-02,2.734321e-02,6.347857e-03,1.367161e-02
7,15,5.859066e-03,1.491065e-02,3.159451e-03,7.512800e-03
8,17,3.049001e-03,7.715059e-03,1.719567e-03,3.918296e-03
9,19,1.389676e-03,3.791053e-03,7.161151e-04,1.895526e-03
10,21,6.943256e-04,1.908685e-03,3.640770e-04,9.543423e-04
11,23,3.504285e-04,1.027414e-03,1.846448e-04,5.137070e-04
12,25,1.851218e-04,5.593244e-04,1.684212e-04,4.076124e-04
13,28,1.790024e-04,4.501042e-04,8.142649e-05,2.269698e-04
14,30,9.190606e-05,3.151838e-04,7.847613e-05,2.039594e-04
15,32,8.768245e-05,2.887848e-04,7.641921e-05,2.033201e-04
16,34,8.818890e-05,2.918903e-04,7.658131e-05,2.033201e-04
